2D Agreement Proportion Analysis Log
Started at: 2025-10-18 23:18:57
Log file: sensitivity_results/tau10_tau01_agreement_log_20251018_231857.txt
======================================================================

Running 2D sensitivity analysis...
  tau10 range: [-1.00, 1.00] with 20 steps
  tau01 range: [-1.00, 1.00] with 20 steps
  Trust levels: 100 points in [0, 1]
  Fixed parameters: β=0.9, α=0.02, γ=0.9
  τ={11:1.0, 00:-1.0}
  p={11:0.2, 10:0.4, 01:0.2, 00:0.2}
  Total simulations: 400

  Processing (1/400): τ¹⁰=-1.000, τ⁰¹=-1.000...
  Processing (2/400): τ¹⁰=-0.895, τ⁰¹=-1.000...
  Processing (3/400): τ¹⁰=-0.789, τ⁰¹=-1.000...
  Processing (4/400): τ¹⁰=-0.684, τ⁰¹=-1.000...
  Processing (5/400): τ¹⁰=-0.579, τ⁰¹=-1.000...
  Processing (6/400): τ¹⁰=-0.474, τ⁰¹=-1.000...
  Processing (7/400): τ¹⁰=-0.368, τ⁰¹=-1.000...
  Processing (8/400): τ¹⁰=-0.263, τ⁰¹=-1.000...
  Processing (9/400): τ¹⁰=-0.158, τ⁰¹=-1.000...
  Processing (10/400): τ¹⁰=-0.053, τ⁰¹=-1.000...
  Processing (11/400): τ¹⁰=0.053, τ⁰¹=-1.000...
  Processing (12/400): τ¹⁰=0.158, τ⁰¹=-1.000...
  Processing (13/400): τ¹⁰=0.263, τ⁰¹=-1.000...
  Processing (14/400): τ¹⁰=0.368, τ⁰¹=-1.000...
  Processing (15/400): τ¹⁰=0.474, τ⁰¹=-1.000...
  Processing (16/400): τ¹⁰=0.579, τ⁰¹=-1.000...
  Processing (17/400): τ¹⁰=0.684, τ⁰¹=-1.000...
  Processing (18/400): τ¹⁰=0.789, τ⁰¹=-1.000...
  Processing (19/400): τ¹⁰=0.895, τ⁰¹=-1.000...
  Processing (20/400): τ¹⁰=1.000, τ⁰¹=-1.000...
  Processing (21/400): τ¹⁰=-1.000, τ⁰¹=-0.895...
  Processing (22/400): τ¹⁰=-0.895, τ⁰¹=-0.895...
  Processing (23/400): τ¹⁰=-0.789, τ⁰¹=-0.895...
  Processing (24/400): τ¹⁰=-0.684, τ⁰¹=-0.895...
  Processing (25/400): τ¹⁰=-0.579, τ⁰¹=-0.895...
  Processing (26/400): τ¹⁰=-0.474, τ⁰¹=-0.895...
  Processing (27/400): τ¹⁰=-0.368, τ⁰¹=-0.895...
  Processing (28/400): τ¹⁰=-0.263, τ⁰¹=-0.895...
  Processing (29/400): τ¹⁰=-0.158, τ⁰¹=-0.895...
  Processing (30/400): τ¹⁰=-0.053, τ⁰¹=-0.895...
  Processing (31/400): τ¹⁰=0.053, τ⁰¹=-0.895...
  Processing (32/400): τ¹⁰=0.158, τ⁰¹=-0.895...
  Processing (33/400): τ¹⁰=0.263, τ⁰¹=-0.895...
  Processing (34/400): τ¹⁰=0.368, τ⁰¹=-0.895...
  Processing (35/400): τ¹⁰=0.474, τ⁰¹=-0.895...
  Processing (36/400): τ¹⁰=0.579, τ⁰¹=-0.895...
  Processing (37/400): τ¹⁰=0.684, τ⁰¹=-0.895...
  Processing (38/400): τ¹⁰=0.789, τ⁰¹=-0.895...
  Processing (39/400): τ¹⁰=0.895, τ⁰¹=-0.895...
  Processing (40/400): τ¹⁰=1.000, τ⁰¹=-0.895...
  Processing (41/400): τ¹⁰=-1.000, τ⁰¹=-0.789...
  Processing (42/400): τ¹⁰=-0.895, τ⁰¹=-0.789...
  Processing (43/400): τ¹⁰=-0.789, τ⁰¹=-0.789...
  Processing (44/400): τ¹⁰=-0.684, τ⁰¹=-0.789...
  Processing (45/400): τ¹⁰=-0.579, τ⁰¹=-0.789...
  Processing (46/400): τ¹⁰=-0.474, τ⁰¹=-0.789...
  Processing (47/400): τ¹⁰=-0.368, τ⁰¹=-0.789...
  Processing (48/400): τ¹⁰=-0.263, τ⁰¹=-0.789...
  Processing (49/400): τ¹⁰=-0.158, τ⁰¹=-0.789...
